1 (0.07087327439705558, 'History_of_the_world')
2 (0.049019927904812695, 'Modern_history')
3 (0.0412555896187327, 'Ancient_history')
4 (0.039367606412869426, 'History_of_South_Africa')
5 (0.037999358087433516, 'History_of_Greece')
6 (0.03750099769933068, 'Military_history_of_France')
7 (0.033081102105604006, 'Military_history_of_the_Soviet_Union')
8 (0.031641286540896485, 'History_of_slavery')
9 (0.02897264055937603, 'History_of_Russia')
10 (0.028188613096821604, 'History_of_science')
11 (0.028052112812443016, 'History_of_the_Netherlands')
12 (0.027378727803857687, 'History_of_the_Royal_Australian_Navy')
13 (0.026618899238721284, 'History_of_painting')
14 (0.02482552031656067, 'History_of_Earth')
15 (0.024433081759800693, 'Military_history_of_Puerto_Rico')
16 (0.02372610301974743, 'History_of_nuclear_weapons')
17 (0.021590601337532996, 'Military_history_of_Canada')
18 (0.020789231678008554, 'History_of_saffron')
19 (0.01871427069403452, 'History_of_South_Africa_in_the_apartheid_era')
20 (0.01641818441788732, 'History_of_Puerto_Rico')
21 (0.016258594418299327, 'History_of_Singapore')
22 (0.016186892371855614, 'History_of_Central_Asia')
23 (0.016095436900716895, 'History_of_Buddhism')
24 (0.015984601855751884, 'History_of_Greenland')
25 (0.01580722291184242, 'History_of_democracy')
26 (0.015741318851212494, 'History_of_Poland_%281945%E2%80%931989%29')
27 (0.01538092234462931, 'History_of_the_Portuguese_Communist_Party')
28 (0.014421665289720248, 'History_of_Arizona')
29 (0.014107496391502505, 'History_of_New_Jersey')
30 (0.013373599580936342, 'History_of_Louisville%2C_Kentucky')
31 (0.012558938978009242, 'History_of_South_Carolina')
32 (0.01203028657151285, 'History_of_the_Panama_Canal')
33 (0.011681587381887185, 'History_of_Alaska')
34 (0.00998018088607003, 'History_of_education')
35 (0.00884152653207082, 'History_of_Cape_Colony_from_1870_to_1899')
36 (0.00863555616691529, 'History_of_post-Soviet_Russia')
37 (0.008404905794858251, 'History_of_the_Australian_Capital_Territory')
38 (0.008281976620274927, 'History_of_Limerick')
39 (0.008273763313186145, 'Population_history_of_American_indigenous_peoples')
40 (0.008007779133982547, 'History_of_Solidarity')
41 (0.007621256177253966, 'History_of_Portugal_%281777%E2%80%931834%29')
42 (0.007223656106700864, 'History_of_the_Grand_Canyon_area')
43 (0.007006551195577633, 'History_of_computing_hardware')
44 (0.006976511670962714, 'History_of_Miami%2C_Florida')
45 (0.0066514789186869734, 'History_of_Anglo-Saxon_England')
46 (0.0062951088354562135, 'History_of_Cape_Colony_from_1806_to_1870')
47 (0.0054398689561097535, 'History_of_the_Internet')
48 (0.004968843393643375, 'History_of_merit_badges_%28Boy_Scouts_of_America%29')
49 (0.00413997515485442, 'History')
50 (0.0036805781254071563, 'History_of_Burnside')
51 (0.003608193360969871, 'History_of_the_West_Indian_cricket_team')
52 (0.0035382162212139368, 'Meteorological_history_of_Hurricane_Katrina')
53 (0.0031798520061843277, 'History_of_Wikipedia')
54 (0.0008305354394009183, 'History_of_Northwest_Territories_capital_cities')
55 (0.0006728978799045642, 'Mausoleum_of_Maussollos')
56 (0.0006728978799045642, 'Byzantine_Empire')
57 (0.0006711484414565026, 'City')
58 (0.0006710917358174603, 'Sociocultural_evolution')
59 (0.0006693413934681695, 'York')
60 (0.0006693413934681695, 'War_and_Peace')
61 (0.0006693413934681695, 'Universe')
62 (0.0006693413934681695, 'Turkish_literature')
63 (0.0006693413934681695, 'Time')
64 (0.0006693413934681695, 'Thucydides')
65 (0.0006693413934681695, 'Thomas_Pynchon')
66 (0.0006693413934681695, 'Thomas_Hobbes')
67 (0.0006693413934681695, 'The_Holocaust')
68 (0.0006693413934681695, 'The_Count_of_Monte_Cristo')
69 (0.0006693413934681695, 'Symmetry')
70 (0.0006693413934681695, 'Stone_Age')
71 (0.0006693413934681695, 'Starship_Troopers')
72 (0.0006693413934681695, 'Stargate_SG-1')
73 (0.0006693413934681695, 'Sociology')
74 (0.0006693413934681695, 'Society')
75 (0.0006693413934681695, 'S%C3%B8ren_Kierkegaard')
76 (0.0006693413934681695, 'Revolution')
77 (0.0006693413934681695, 'Race')
78 (0.0006693413934681695, 'Prehistoric_man')
79 (0.0006693413934681695, 'Poverty')
80 (0.0006693413934681695, 'Political_science')
81 (0.0006693413934681695, 'Political_philosophy')
82 (0.0006693413934681695, 'Political_economy')
83 (0.0006693413934681695, 'Nikola_Tesla')
84 (0.0006693413934681695, 'Muhammad_ibn_Musa_al-Khwarizmi')
85 (0.0006693413934681695, 'Muhammad_Iqbal')
86 (0.0006693413934681695, 'Modernist_poetry_in_English')
87 (0.0006693413934681695, 'Microscope')
88 (0.0006693413934681695, 'Mesopotamia')
89 (0.0006693413934681695, 'Medicine')
90 (0.0006693413934681695, 'Louisville%2C_Kentucky')
91 (0.0006693413934681695, 'Literature')
92 (0.0006693413934681695, 'Lebanon')
93 (0.0006693413934681695, 'Karl_Marx')
94 (0.0006693413934681695, 'Johann_Sebastian_Bach')
95 (0.0006693413934681695, 'Jesus')
96 (0.0006693413934681695, 'Integrated_circuit')
97 (0.0006693413934681695, 'Humanities')
98 (0.0006693413934681695, 'Humanism')
99 (0.0006693413934681695, 'Gottfried_Leibniz')
100 (0.0006693413934681695, 'Genghis_Khan')
101 (0.0006693413934681695, 'Fossil_record')
102 (0.0006693413934681695, 'Fossil')
103 (0.0006693413934681695, 'Flanders')
104 (0.0006693413934681695, 'Family')
105 (0.0006693413934681695, 'Empires__Dawn_of_the_Modern_World')
106 (0.0006693413934681695, 'Education')
107 (0.0006693413934681695, 'Dutch_language')
108 (0.0006693413934681695, 'Du_Fu')
109 (0.0006693413934681695, 'David_Helvarg')
110 (0.0006693413934681695, 'Dance')
111 (0.0006693413934681695, 'Cultural_identity')
112 (0.0006693413934681695, 'Climate')
113 (0.0006693413934681695, 'Celtic_F.C.')
114 (0.0006693413934681695, 'Asthma')
115 (0.0006693413934681695, 'Asperger_syndrome')
116 (0.0006693413934681695, 'Architecture')
117 (0.0006693413934681695, 'Archaeology')
118 (0.0006693413934681695, 'Archaeoastronomy')
119 (0.0006693413934681695, 'Arcadia_%28play%29')
120 (0.0006693413934681695, 'Anthropology')
121 (0.0006693413934681695, 'Andorra')
122 (0.0006693413934681695, 'Ancient_Rome')
123 (0.0006693413934681695, '%E2%82%AC2_commemorative_coins')
124 (0.0004005976153912634, 'Russian_Revolution_of_1917')
125 (0.0004005976153912634, 'Khazars')
126 (0.00026237333142780224, 'Gold%28III%29_chloride')
127 (0.00010348911191175956, 'South_Africa')
128 (0.00010321777607679583, 'Minimum_wage')
129 (0.00010321777607679583, 'Margaret_Thatcher')
130 (0.00010321777607679583, 'All_Blacks')
131 (9.884134408938785e-05, 'Winston_Churchill')
132 (9.884134408938785e-05, 'Weather')
133 (9.884134408938785e-05, 'Nationalism')
134 (9.884134408938785e-05, 'Mongol_Empire')
135 (9.884134408938785e-05, 'Maya_mythology')
136 (9.884134408938785e-05, 'Agriculture')
137 (1.8226956485106174e-05, 'World_Wide_Web')
138 (3.5564864363948e-06, 'Roman_Greece')
139 (3.5564864363948e-06, 'Minoan_civilization')
140 (3.5564864363948e-06, 'Lunar_eclipse')
141 (3.5564864363948e-06, 'Hellenistic_Greece')
142 (3.5564864363948e-06, 'Greek_War_of_Independence')
143 (3.5564864363948e-06, 'Baltic_Sea')
144 (3.5564864363948e-06, 'Ancient_Greece')
145 (1.807047988333258e-06, 'Tycho_Brahe')
146 (1.807047988333258e-06, 'Tuberculosis')
147 (1.807047988333258e-06, 'Swastika')
148 (1.807047988333258e-06, 'Planet')
149 (1.807047988333258e-06, 'Pericles')
150 (1.807047988333258e-06, 'Monarchy')
151 (1.807047988333258e-06, 'Middle_East')
152 (1.807047988333258e-06, 'Greek_mythology')
153 (1.807047988333258e-06, 'Diabetes_mellitus')
154 (1.807047988333258e-06, 'C._S._Lewis')
155 (1.807047988333258e-06, 'Bible')
156 (1.807047988333258e-06, 'Asp_%28reptile%29')
157 (1.807047988333258e-06, 'Alcibiades')
158 (1.807047988333258e-06, 'Advertising')
159 (1.7503423492908232e-06, 'Magna_Carta')
160 (1.7503423492908232e-06, 'Constitution_of_May_3%2C_1791')
161 (2.7133583496372256e-07, 'Zulu')
162 (2.7133583496372256e-07, 'Johannesburg')
163 (2.7133583496372256e-07, 'Flag_of_South_Africa')
164 (2.7133583496372256e-07, 'Afrikaans')
165 (0.0, 'Zionism')
166 (0.0, 'Zinc')
167 (0.0, 'Zimbabwe')
168 (0.0, 'Zheng_He')
169 (0.0, 'Zambia')
170 (0.0, 'Zachary_Taylor')
171 (0.0, 'Yuri_Gagarin')
172 (0.0, 'Yugoslavia')
173 (0.0, 'Yom_Kippur_War')
174 (0.0, 'Yemen')
175 (0.0, 'Yellowstone_National_Park')
176 (0.0, 'Yellow_fever')
177 (0.0, 'Yellow_River')
178 (0.0, 'Yangtze_River')
179 (0.0, 'Writing')
180 (0.0, 'World_War_II')
181 (0.0, 'World_War_I')
182 (0.0, 'World_Heritage_Site')
183 (0.0, 'Woodrow_Wilson')
184 (0.0, 'Women%27s_rights')
185 (0.0, 'Witold_Pilecki')
186 (0.0, 'Winter')
187 (0.0, 'Wine')
188 (0.0, 'Wind')
189 (0.0, 'William_Tecumseh_Sherman')
190 (0.0, 'William_Shakespeare')
191 (0.0, 'William_McKinley')
192 (0.0, 'William_III_of_England')
193 (0.0, 'Wikipedia')
194 (0.0, 'Wikimedia_Foundation')
195 (0.0, 'Wheat')
196 (0.0, 'Whale')
197 (0.0, 'Westminster_System')
198 (0.0, 'Western_painting')
199 (0.0, 'Western_Roman_Empire')
200 (0.0, 'Western_Front_%28World_War_I%29')
201 (0.0, 'Wessex')
202 (0.0, 'Wernher_von_Braun')
203 (0.0, 'Wellington')
204 (0.0, 'Weapon')
205 (0.0, 'Water')
206 (0.0, 'Washington%2C_D.C.')
207 (0.0, 'Warsaw')
208 (0.0, 'Wars_of_the_Roses')
209 (0.0, 'Ward_Cunningham')
210 (0.0, 'War_of_the_Spanish_Succession')
211 (0.0, 'War')
212 (0.0, 'Walrus')
213 (0.0, 'Wall_Street')
214 (0.0, 'Wales')
215 (0.0, 'Voting')
216 (0.0, 'Volga_River')
217 (0.0, 'Volcano')
218 (0.0, 'Vladimir_Lenin')
219 (0.0, 'Vitus_Bering')
220 (0.0, 'Vitamin_C')
221 (0.0, 'Virus')
222 (0.0, 'Vincent_van_Gogh')
223 (0.0, 'Vinaya')
