1 (0.13145347426148682, 'History')
2 (0.01935596127699215, '15th_century')
3 (0.019272868362159024, 'Archaeology')
4 (0.01919765982163237, 'Genetics')
5 (0.019162252323942214, 'Athens')
6 (0.01910958080021901, 'English_language')
7 (0.019108760578485092, 'Herodotus')
8 (0.019069958404348223, '16th_century')
9 (0.018886210545286507, 'Anthropology')
10 (0.015425808603982677, 'Ancient_history')
11 (0.011693825608570976, 'History_of_science')
12 (0.0074428196982659735, 'History_of_Greece')
13 (0.006896959344788064, 'Human')
14 (0.006896571762657442, 'Latin')
15 (0.006824521931780728, 'Writing')
16 (0.006676406646019134, 'Language')
17 (0.006662294392614091, 'Linguistics')
18 (0.006617517291230743, 'University_of_Cambridge')
19 (0.006571320846684429, 'Society')
20 (0.00655611364314404, 'Time')
21 (0.00655611364314404, 'Sub-Saharan_Africa')
22 (0.00655611364314404, 'Humanities')
23 (0.006374115226865277, 'History_of_Earth')
24 (0.0061591044978065775, 'History_of_the_world')
25 (0.004218969516249516, 'History_of_South_Africa')
26 (0.0034381142091788894, 'History_of_South_Africa_in_the_apartheid_era')
27 (0.0028984901203988264, 'History_of_slavery')
28 (0.0025285882940784972, 'History_of_Anglo-Saxon_England')
29 (0.002292043938064696, 'History_of_Buddhism')
30 (0.002164225957361333, 'Europe')
31 (0.0021378372017095064, 'History_of_democracy')
32 (0.0020227084075620017, 'History_of_computing_hardware')
33 (0.001997824602761726, 'Meteorological_history_of_Hurricane_Katrina')
34 (0.0018723890049892956, 'History_of_nuclear_weapons')
35 (0.0016601442693362299, 'History_of_Russia')
36 (0.00156926112773799, 'History_of_post-Soviet_Russia')
37 (0.001528503116829915, 'Germany')
38 (0.001518369823777714, 'Christianity')
39 (0.0015080079278307495, 'France')
40 (0.0014464950515519683, 'Ancient_Egypt')
41 (0.0014421155750208054, 'Population_history_of_American_indigenous_peoples')
42 (0.0013583627891471778, 'Ancient_Greece')
43 (0.0013391104104903031, 'History_of_the_Portuguese_Communist_Party')
44 (0.0013213333364626495, 'Australia')
45 (0.0013191614965753897, 'England')
46 (0.0013091347519551162, 'Byzantine_Empire')
47 (0.0012899959350824108, 'History_of_the_Internet')
48 (0.0012853002204420386, '19th_century')
49 (0.00127014802281316, 'History_of_Central_Asia')
50 (0.0012579322725603031, 'History_of_painting')
51 (0.001255761853995257, 'China')
52 (0.0012522603831611363, 'Alexander_the_Great')
53 (0.0012473740404141567, 'Africa')
54 (0.0012333070686011693, 'Canada')
55 (0.001228592286995707, 'Military_history_of_the_Soviet_Union')
56 (0.001225241313569038, 'Egypt')
57 (0.0011672750175066014, '18th_century')
58 (0.0011521175052108287, 'Aristotle')
59 (0.0010454475951046933, 'Modern_history')
60 (0.0010376212903351525, 'World_War_II')
61 (0.0010142384477325348, 'Gold%28III%29_chloride')
62 (0.0010100709755848274, 'United_States')
63 (0.0009794510198810134, 'Greece')
64 (0.0009680100420356354, 'European_Union')
65 (0.0009608863964537435, 'Christopher_Columbus')
66 (0.0009367729111986444, 'Agriculture')
67 (0.0009342542594897586, 'Computer')
68 (0.0009294041416129698, 'Capitalism')
69 (0.0009255816535653732, 'Atlantic_Ocean')
70 (0.0008942646791247498, 'Communism')
71 (0.0008936015541318264, '5th_century')
72 (0.0008565068468061744, 'World_War_I')
73 (0.0008534267469939807, 'Algorithm')
74 (0.0008470175858138412, 'Afghanistan')
75 (0.0008466803923275862, 'Soviet_Union')
76 (0.0008443430505177481, 'Democracy')
77 (0.000837232005090177, 'Cold_War')
78 (0.0008341693941365443, 'DNA')
79 (0.0008249611812155684, 'Ancient_Rome')
80 (0.0008228520227763926, 'Rome')
81 (0.0008170009911570864, 'Italy')
82 (0.0008073447997426198, 'Civilization')
83 (0.0007928666909969874, 'Bronze_Age')
84 (0.000788093621830068, 'British_Empire')
85 (0.0007831176212324635, 'Gold')
86 (0.0007809997737189583, 'Gunpowder')
87 (0.0007728588510353039, 'Angola')
88 (0.000756158043271945, '20th_century')
89 (0.0007559721032539031, 'Black_Death')
90 (0.0007550624643443726, 'India')
91 (0.0007547892274113452, 'Earth')
92 (0.0007508386113721222, 'Buddhism')
93 (0.0007502533465617959, '11th_century')
94 (0.0007502533465617959, '10th_century')
95 (0.0007448745480630652, 'Gottfried_Leibniz')
96 (0.0007448745480630652, 'Computer_science')
97 (0.0007448745480630652, 'Blaise_Pascal')
98 (0.0007407313757305806, 'Middle_Ages')
99 (0.0007406969028101988, 'Black_Sea')
100 (0.000740373162017957, '1st_century')
